surface,router,name,proposedPermission,kind,procedure,authority,module,level,roles,branch,sensitivity,sensitivityWhy,flags,loc
"trpc","storeAdminRouter","remove","store.store_admin.delete","mutation","storeGlobalAdminProcedure","module-gate","store","FULL","manager","required","HIGH","فعل حسّاس: remove","LOCAL_GATE|SENSITIVE_ACTION","server/routers/storeAdminRouter.ts:280"
"trpc","storeAdminRouter","reorder","store.store_admin.reorder","mutation","storeGlobalAdminProcedure","module-gate","store","FULL","manager","required","MEDIUM","كتابة","LOCAL_GATE","server/routers/storeAdminRouter.ts:296"
"trpc","storeAdminRouter","saveProgram","store.store_admin.update","mutation","storeGlobalAdminProcedure","module-gate","store","FULL","manager","required","MEDIUM","كتابة","LOCAL_GATE","server/routers/storeAdminRouter.ts:465"
"trpc","storeAdminRouter","schedule","store.store_admin.schedule","mutation","storeGlobalAdminProcedure","module-gate","store","FULL","manager","required","MEDIUM","كتابة","LOCAL_GATE","server/routers/storeAdminRouter.ts:497"
"trpc","storeAdminRouter","setFeatured","store.store_admin.update","mutation","storeGlobalAdminProcedure","module-gate","store","FULL","manager","required","MEDIUM","كتابة","LOCAL_GATE","server/routers/storeAdminRouter.ts:337"
"trpc","storeAdminRouter","setImage","store.store_admin.update","mutation","storeGlobalAdminProcedure","module-gate","store","FULL","manager","required","MEDIUM","كتابة","LOCAL_GATE","server/routers/storeAdminRouter.ts:363"
"trpc","storeAdminRouter","setStatus","store.store_admin.update","mutation","storeFulfillProcedure","module-gate","store","FULL","manager|cashier|sales_rep","required","MEDIUM","كتابة","","server/routers/storeAdminRouter.ts:125"
"trpc","storeAdminRouter","setStock","store.store_admin.update","mutation","storeFulfillmentManagerProcedure","module-gate","store","FULL","manager","required","MEDIUM","كتابة","LOCAL_GATE","server/routers/storeAdminRouter.ts:351"
"trpc","storeAdminRouter","setVisibility","store.store_admin.update","mutation","storeGlobalAdminProcedure","module-gate","store","FULL","manager","required","MEDIUM","كتابة","LOCAL_GATE","server/routers/storeAdminRouter.ts:288"
"trpc","storeAdminRouter","setVisible","store.store_admin.update","mutation","storeGlobalAdminProcedure","module-gate","store","FULL","manager","required","MEDIUM","كتابة","LOCAL_GATE","server/routers/storeAdminRouter.ts:344"
"trpc","storeAdminRouter","summary","store.store_admin.view","query","storeReadProcedure","module-map","store","READ","","scoped","LOW","قراءة","","server/routers/storeAdminRouter.ts:430"
"trpc","storeAdminRouter","update","store.store_admin.update","mutation","storeGlobalAdminProcedure","module-gate","store","FULL","manager","required","MEDIUM","كتابة","LOCAL_GATE","server/routers/storeAdminRouter.ts:217"
